pmid,year,study_type,population,intervention,outcome,comparator
24497661,2016,RCT,MS patients,CBT-I,total sleep time,waitlist
24497661,2016,RCT,women,CBT-I,total sleep time,waitlist
24497661,2016,RCT,MS patients,CBT-I,sleep quality (PSQI),waitlist
24497661,2016,RCT,women,CBT-I,sleep quality (PSQI),waitlist
24497661,2016,RCT,MS patients,CBT-I,actigraphy,waitlist
24497661,2016,RCT,women,CBT-I,actigraphy,waitlist
24497661,2016,RCT,MS patients,CBT-I,depression,waitlist
24497661,2016,RCT,women,CBT-I,depression,waitlist
24497661,2016,RCT,MS patients,CBT-I,polysomnography,waitlist
24497661,2016,RCT,women,CBT-I,polysomnography,waitlist
24497661,2016,RCT,MS patients,CBT-I,insomnia severity (ISI),waitlist
24497661,2016,RCT,women,CBT-I,insomnia severity (ISI),waitlist
24395850,2016,RCT,insomnia patients,CBT-I,sleep onset latency,not specified
24395850,2016,RCT,insomnia patients,CBT-I,total sleep time,not specified
24395850,2016,RCT,insomnia patients,CBT-I,sleep efficiency,not specified
24395850,2016,RCT,insomnia patients,CBT-I,sleep quality (PSQI),not specified
24395850,2016,RCT,insomnia patients,CBT-I,actigraphy,not specified
24395850,2016,RCT,insomnia patients,CBT-I,wake after sleep onset,not specified
24395850,2016,RCT,insomnia patients,CBT-I,insomnia severity (ISI),not specified
24650832,2016,RCT,MS patients,sleep hygiene education,anxiety,placebo
24650832,2016,RCT,chronic insomnia,sleep hygiene education,anxiety,placebo
24650832,2016,RCT,cancer survivors,sleep hygiene education,anxiety,placebo
24650832,2016,RCT,women,sleep hygiene education,anxiety,placebo
24650832,2016,RCT,MS patients,sleep hygiene education,fatigue,placebo
24650832,2016,RCT,chronic insomnia,sleep hygiene education,fatigue,placebo
24650832,2016,RCT,cancer survivors,sleep hygiene education,fatigue,placebo
24650832,2016,RCT,women,sleep hygiene education,fatigue,placebo
24650832,2016,RCT,MS patients,sleep hygiene education,total sleep time,placebo
24650832,2016,RCT,chronic insomnia,sleep hygiene education,total sleep time,placebo
24650832,2016,RCT,cancer survivors,sleep hygiene education,total sleep time,placebo
24650832,2016,RCT,women,sleep hygiene education,total sleep time,placebo
24650832,2016,RCT,MS patients,sleep hygiene education,sleep efficiency,placebo
24650832,2016,RCT,chronic insomnia,sleep hygiene education,sleep efficiency,placebo
24650832,2016,RCT,cancer survivors,sleep hygiene education,sleep efficiency,placebo
24650832,2016,RCT,women,sleep hygiene education,sleep efficiency,placebo
24650832,2016,RCT,MS patients,sleep hygiene education,sleep hygiene behaviour,placebo
24650832,2016,RCT,chronic insomnia,sleep hygiene education,sleep hygiene behaviour,placebo
24650832,2016,RCT,cancer survivors,sleep hygiene education,sleep hygiene behaviour,placebo
24650832,2016,RCT,women,sleep hygiene education,sleep hygiene behaviour,placebo
24650832,2016,RCT,MS patients,sleep hygiene education,quality of life,placebo
24650832,2016,RCT,chronic insomnia,sleep hygiene education,quality of life,placebo
24650832,2016,RCT,cancer survivors,sleep hygiene education,quality of life,placebo
24650832,2016,RCT,women,sleep hygiene education,quality of life,placebo
24650832,2016,RCT,MS patients,sleep hygiene education,depression,placebo
24650832,2016,RCT,chronic insomnia,sleep hygiene education,depression,placebo
24650832,2016,RCT,cancer survivors,sleep hygiene education,depression,placebo
24650832,2016,RCT,women,sleep hygiene education,depression,placebo
24650832,2016,RCT,MS patients,sleep hygiene education,wake after sleep onset,placebo
24650832,2016,RCT,chronic insomnia,sleep hygiene education,wake after sleep onset,placebo
24650832,2016,RCT,cancer survivors,sleep hygiene education,wake after sleep onset,placebo
24650832,2016,RCT,women,sleep hygiene education,wake after sleep onset,placebo
24650832,2016,RCT,MS patients,sleep hygiene education,insomnia severity (ISI),placebo
24650832,2016,RCT,chronic insomnia,sleep hygiene education,insomnia severity (ISI),placebo
24650832,2016,RCT,cancer survivors,sleep hygiene education,insomnia severity (ISI),placebo
24650832,2016,RCT,women,sleep hygiene education,insomnia severity (ISI),placebo
24650832,2016,RCT,MS patients,CBT-I,anxiety,placebo
24650832,2016,RCT,chronic insomnia,CBT-I,anxiety,placebo
24650832,2016,RCT,cancer survivors,CBT-I,anxiety,placebo
24650832,2016,RCT,women,CBT-I,anxiety,placebo
24650832,2016,RCT,MS patients,CBT-I,fatigue,placebo
24650832,2016,RCT,chronic insomnia,CBT-I,fatigue,placebo
24650832,2016,RCT,cancer survivors,CBT-I,fatigue,placebo
24650832,2016,RCT,women,CBT-I,fatigue,placebo
24650832,2016,RCT,MS patients,CBT-I,total sleep time,placebo
24650832,2016,RCT,chronic insomnia,CBT-I,total sleep time,placebo
24650832,2016,RCT,cancer survivors,CBT-I,total sleep time,placebo
24650832,2016,RCT,women,CBT-I,total sleep time,placebo
24650832,2016,RCT,MS patients,CBT-I,sleep efficiency,placebo
24650832,2016,RCT,chronic insomnia,CBT-I,sleep efficiency,placebo
24650832,2016,RCT,cancer survivors,CBT-I,sleep efficiency,placebo
24650832,2016,RCT,women,CBT-I,sleep efficiency,placebo
24650832,2016,RCT,MS patients,CBT-I,sleep hygiene behaviour,placebo
24650832,2016,RCT,chronic insomnia,CBT-I,sleep hygiene behaviour,placebo
24650832,2016,RCT,cancer survivors,CBT-I,sleep hygiene behaviour,placebo
24650832,2016,RCT,women,CBT-I,sleep hygiene behaviour,placebo
24650832,2016,RCT,MS patients,CBT-I,quality of life,placebo
24650832,2016,RCT,chronic insomnia,CBT-I,quality of life,placebo
24650832,2016,RCT,cancer survivors,CBT-I,quality of life,placebo
24650832,2016,RCT,women,CBT-I,quality of life,placebo
24650832,2016,RCT,MS patients,CBT-I,depression,placebo
24650832,2016,RCT,chronic insomnia,CBT-I,depression,placebo
24650832,2016,RCT,cancer survivors,CBT-I,depression,placebo
24650832,2016,RCT,women,CBT-I,depression,placebo
24650832,2016,RCT,MS patients,CBT-I,wake after sleep onset,placebo
24650832,2016,RCT,chronic insomnia,CBT-I,wake after sleep onset,placebo
24650832,2016,RCT,cancer survivors,CBT-I,wake after sleep onset,placebo
24650832,2016,RCT,women,CBT-I,wake after sleep onset,placebo
24650832,2016,RCT,MS patients,CBT-I,insomnia severity (ISI),placebo
24650832,2016,RCT,chronic insomnia,CBT-I,insomnia severity (ISI),placebo
24650832,2016,RCT,cancer survivors,CBT-I,insomnia severity (ISI),placebo
24650832,2016,RCT,women,CBT-I,insomnia severity (ISI),placebo
24650832,2016,RCT,MS patients,placebo,anxiety,placebo
24650832,2016,RCT,chronic insomnia,placebo,anxiety,placebo
24650832,2016,RCT,cancer survivors,placebo,anxiety,placebo
24650832,2016,RCT,women,placebo,anxiety,placebo
24650832,2016,RCT,MS patients,placebo,fatigue,placebo
24650832,2016,RCT,chronic insomnia,placebo,fatigue,placebo
24650832,2016,RCT,cancer survivors,placebo,fatigue,placebo
24650832,2016,RCT,women,placebo,fatigue,placebo
24650832,2016,RCT,MS patients,placebo,total sleep time,placebo
24650832,2016,RCT,chronic insomnia,placebo,total sleep time,placebo
24650832,2016,RCT,cancer survivors,placebo,total sleep time,placebo
24650832,2016,RCT,women,placebo,total sleep time,placebo
24650832,2016,RCT,MS patients,placebo,sleep efficiency,placebo
24650832,2016,RCT,chronic insomnia,placebo,sleep efficiency,placebo
24650832,2016,RCT,cancer survivors,placebo,sleep efficiency,placebo
24650832,2016,RCT,women,placebo,sleep efficiency,placebo
24650832,2016,RCT,MS patients,placebo,sleep hygiene behaviour,placebo
24650832,2016,RCT,chronic insomnia,placebo,sleep hygiene behaviour,placebo
24650832,2016,RCT,cancer survivors,placebo,sleep hygiene behaviour,placebo
24650832,2016,RCT,women,placebo,sleep hygiene behaviour,placebo
24650832,2016,RCT,MS patients,placebo,quality of life,placebo
24650832,2016,RCT,chronic insomnia,placebo,quality of life,placebo
24650832,2016,RCT,cancer survivors,placebo,quality of life,placebo
24650832,2016,RCT,women,placebo,quality of life,placebo
24650832,2016,RCT,MS patients,placebo,depression,placebo
24650832,2016,RCT,chronic insomnia,placebo,depression,placebo
24650832,2016,RCT,cancer survivors,placebo,depression,placebo
24650832,2016,RCT,women,placebo,depression,placebo
24650832,2016,RCT,MS patients,placebo,wake after sleep onset,placebo
24650832,2016,RCT,chronic insomnia,placebo,wake after sleep onset,placebo
24650832,2016,RCT,cancer survivors,placebo,wake after sleep onset,placebo
24650832,2016,RCT,women,placebo,wake after sleep onset,placebo
24650832,2016,RCT,MS patients,placebo,insomnia severity (ISI),placebo
24650832,2016,RCT,chronic insomnia,placebo,insomnia severity (ISI),placebo
24650832,2016,RCT,cancer survivors,placebo,insomnia severity (ISI),placebo
24650832,2016,RCT,women,placebo,insomnia severity (ISI),placebo
